Index,Title,Artist,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
7,She Will Be Loved,Maroon 5,2002,102,71,71,-6,13,54,257,6,3,74
76,Dirty Diana,Michael Jackson,2003,131,80,75,-5,42,37,281,24,5,55
236,Fireflies,Owl City,2009,180,66,51,-7,12,46,228,3,4,79
247,Will You Be There - Single Version,Michael Jackson,2005,83,63,41,-7,8,44,220,51,7,53
290,Black or White - Single Version,Michael Jackson,2005,115,89,74,-4,9,96,203,8,5,64
445,The A Team,Ed Sheeran,2011,85,29,64,-10,18,41,258,67,4,76
464,Give Me Love,Ed Sheeran,2011,116,33,53,-10,11,11,526,69,5,73
468,I Won' T Let You Down,Road Band,2011,106,35,64,-14,7,59,233,54,3,33
470,Lego House,Ed Sheeran,2011,160,64,59,-8,13,56,185,56,10,71
528,I See Fire,Ed Sheeran,2013,76,5,63,-21,10,20,301,56,4,64
566,Thinking out Loud,Ed Sheeran,2014,79,45,78,-6,18,59,282,47,3,84
578,Photograph,Ed Sheeran,2014,108,38,61,-10,10,20,259,61,5,84
588,Wit Licht,Jeroen van Koningsbrugge,2014,146,69,59,-7,10,19,212,72,8,43
592,Stay With Me,Sam Smith,2014,84,42,42,-6,11,18,173,59,4,84
600,Love Never Felt So Good,Michael Jackson,2014,118,72,78,-6,7,71,246,13,4,70
683,Pokémon Theme-New Studio Recording,Jason Paige,2017,145,91,57,-5,14,40,197,3,5,41
684,Perfect,Ed Sheeran,2017,95,45,60,-6,11,17,263,16,2,87
685,Thriller,Michael Jackson,2017,118,89,76,-4,85,72,358,8,7,69
688,Shape of You,Ed Sheeran,2017,96,65,83,-3,9,93,234,58,8,87
692,Castle on the Hill,Ed Sheeran,2017,135,83,46,-5,14,47,261,2,10,79
709,Happier,Ed Sheeran,2017,90,39,52,-7,14,24,208,54,3,83
710,Galway Girl,Ed Sheeran,2017,100,88,62,-3,33,78,171,7,10,80
712,Supermarket Flowers,Ed Sheeran,2017,90,24,59,-11,9,26,221,91,4,78
752,Someone You Loved,Lewis Capaldi,2018,110,41,50,-6,11,45,182,75,3,85
788,Memories,Maroon 5,2019,91,32,76,-7,8,57,189,84,5,98
893,Ben - Single Version,Michael Jackson,1972,136,16,44,-11,11,29,167,91,3,53
1135,Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,1979,119,82,88,-10,18,95,365,13,9,74
1142,Off the Wall,Michael Jackson,1979,119,60,83,-14,8,92,246,18,6,62
1148,Rock with You - Single Version,Michael Jackson,1979,114,54,81,-13,16,85,221,18,4,73
1151,We Belong to the Night,Ellen Foley,1979,101,75,36,-9,23,42,321,0,4,40
1210,Billie Jean,Michael Jackson,1982,117,65,92,-3,4,85,294,2,4,81
1229,Human Nature,Michael Jackson,1982,93,51,62,-10,26,69,246,54,3,65
1232,P.Y.T. (Pretty Young Thing),Michael Jackson,1982,127,82,89,-5,13,96,239,23,4,71
1233,Wanna Be Startin' Somethin',Michael Jackson,1982,122,92,85,-4,6,90,362,2,4,64
1398,Smooth Criminal - 2012 Remaster,Michael Jackson,1987,118,98,85,-4,31,60,258,25,8,76
1415,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,1987,114,85,88,-5,14,54,298,5,15,72
1417,Bad - 2012 Remaster,Michael Jackson,1987,114,89,79,-4,7,39,247,0,4,68
1431,Liberian Girl - 2012 Remastered Version,Michael Jackson,1987,105,55,75,-7,13,45,233,46,10,59
1545,You,Ten Sharp,1991,174,90,41,-8,19,67,273,43,3,61
1546,Heal the World,Michael Jackson,1991,81,49,53,-8,10,10,384,54,5,68
1660,Earth Song,Michael Jackson,1995,138,44,50,-8,9,14,406,48,3,63
1662,Man in the Mirror,Michael Jackson,1995,100,80,79,-6,11,27,319,43,4,64
1664,Beat It,Michael Jackson,1995,139,80,76,-6,17,91,258,3,4,60
1668,They Don't Care About Us,Michael Jackson,1995,90,91,86,-6,32,73,284,21,13,69
1686,Stranger in Moscow,Michael Jackson,1995,130,47,80,-9,32,59,344,25,4,58
1766,Toen Ik Je Zag - Single Version,Hero,1998,81,20,37,-14,30,14,205,71,4,47
1943,MacArthur Park,Richard Harris,1968,170,34,25,-16,14,37,450,80,3,36
